new_rank,#facts,new_scores,new_ranks,facts,prediction,original_score,new_score,original_rank
4.5,3,"[6.934193379493081e-07, 6.40234793536365e-05]","[5, 4]","[(6205, 3, 40), (6205, 3, 7), (6205, 3, 220)]","(6205, 8, 7410)",0.014452626928687096,3.2358449345792906e-05,1
1.5,3,"[0.014245609752833843, 0.564728856086731]","[2, 1]","[(6004, 3, 928), (6004, 3, 6009), (6004, 3, 6008)]","(6004, 11, 7956)",0.00012833354412578046,0.2894872329197824,1
5.0,3,"[0.00013174416380934417, 9.014017996378243e-05]","[4, 6]","[(6263, 3, 1839), (6263, 2, 30), (6263, 3, 1493)]","(6263, 11, 8038)",0.0002951537608169019,0.0001109421718865633,1
1.5,3,"[0.0002940446138381958, 0.9749290347099304]","[2, 1]","[(6344, 3, 706), (6344, 2, 31), (6344, 3, 88)]","(6344, 11, 7956)",4.18413728766609e-05,0.4876115396618843,1
8.5,3,"[4.987703999814741e-11, 5.798761435471533e-07]","[16, 1]","[(6914, 3, 55), (6914, 3, 6), (6914, 4, 66)]","(6914, 10, 7830)",1.2131610382937197e-08,2.8996301029357574e-07,1
8.5,3,"[4.1134377154472546e-11, 1.4796278264839202e-06]","[16, 1]","[(7788, 3, 666), (7788, 3, 10), (7788, 3, 3903)]","(7788, 10, 7830)",1.025166298518343e-07,7.398344804305373e-07,1
4.5,3,"[9.196170140057802e-05, 1.3721940376854036e-05]","[4, 5]","[(6437, 2, 68), (6437, 3, 4441), (6437, 3, 43)]","(6437, 11, 8038)",0.00044393775169737637,5.284182088871603e-05,1
5.5,3,"[9.630476971445034e-11, 9.432749834559218e-07]","[10, 1]","[(5920, 3, 5926), (5920, 3, 111), (5920, 3, 5929)]","(5920, 10, 7830)",2.1284087381445715e-08,4.716856441128181e-07,1
8.5,3,"[5.27558938756556e-07, 1.168990934274916e-06]","[6, 11]","[(7080, 3, 460), (7080, 2, 30), (7080, 3, 10)]","(7080, 8, 7410)",0.0038276715204119682,8.48274936515736e-07,1
8.5,3,"[2.170943459722796e-11, 1.0273944326399942e-06]","[16, 1]","[(6848, 1, 65), (6848, 2, 2083), (6848, 3, 7)]","(6848, 10, 7830)",3.360280231845536e-08,5.137080710372957e-07,1
6.5,3,"[0.0008518621907569468, 3.416915933485143e-05]","[4, 9]","[(5517, 3, 1123), (5517, 3, 1005), (5517, 3, 3736)]","(5517, 9, 7903)",0.001694337697699666,0.0004430156750458991,1
6.0,3,"[1.1982338037341833e-06, 3.229093863410526e-06]","[3, 9]","[(7097, 3, 2173), (7097, 3, 40), (7097, 3, 10)]","(7097, 8, 7567)",0.00016190372116398066,2.2136638335723546e-06,1
7.0,3,"[4.105597994907839e-08, 6.4200544329651166e-06]","[7, 7]","[(5756, 3, 6), (5756, 2, 30), (5756, 2, 31)]","(5756, 8, 7410)",0.011794748716056347,3.2305552064570975e-06,1
