original_rank,original_score,#facts,new_score,new_ranks,facts,new_rank,new_scores,prediction
1,0.0006460305885411799,3,0.0028963481481696363,"[2, 2]","[(7499, 8, 7427), (7933, 8, 7427), (8048, 8, 7427)]",2.0,"[1.4266266589402221e-05, 0.00577843002974987]","(6323, 8, 7427)"
1,6.148118458781937e-09,3,1.5436683220571012e-07,"[1, 2]","[(7833, 10, 7830), (8557, 10, 7830), (8048, 10, 7830)]",1.5,"[2.993510861415416e-07, 9.38257826987865e-09]","(6373, 10, 7830)"
1,0.0015577415470033884,3,0.0002847112627932802,"[2, 3]","[(8007, 8, 7410), (8092, 8, 7410), (7955, 8, 7410)]",2.5,"[0.00017073124763555825, 0.0003986912779510021]","(4912, 8, 7410)"
1,0.022079473361372948,3,0.022972240578383207,"[1, 3]","[(15423, 12, 4492), (12158, 12, 4492), (14861, 12, 4492)]",2.0,"[0.033482857048511505, 0.01246162410825491]","(7628, 12, 4492)"
1,1.0917164061652329e-08,3,2.954784950048861e-08,"[2, 2]","[(7833, 10, 7830), (8048, 10, 7830), (8557, 10, 7830)]",2.0,"[4.170895095967353e-08, 1.738674804130369e-08]","(5133, 10, 7830)"
1,5.487277832116888e-08,3,7.130374335417855e-08,"[2, 2]","[(7955, 10, 7830), (8338, 10, 7830), (8287, 10, 7830)]",2.0,"[8.533184114867254e-08, 5.727564555968456e-08]","(7201, 10, 7830)"
1,0.0004571357276290655,3,6.894960250747317e-06,"[12, 10]","[(7714, 8, 7567), (8416, 8, 7567), (8355, 8, 7567)]",11.0,"[1.7751602854332305e-07, 1.3612404472951312e-05]","(5110, 8, 7567)"
1,0.00026256981072947383,3,0.00027072382796689,"[2, 5]","[(10240, 11, 8038), (10280, 11, 8038), (9941, 11, 8038)]",3.5,"[0.0005410205922089517, 4.2706372482825827e-07]","(6213, 11, 8038)"
1,4.969827660517012e-09,3,2.9469855888919483e-08,"[2, 2]","[(7833, 10, 7830), (8557, 10, 7830), (8048, 10, 7830)]",2.0,"[2.4281611388232704e-08, 3.465810038960626e-08]","(5593, 10, 7830)"
1,0.0007456682506017387,3,4.337658516817555e-06,"[11, 8]","[(8059, 8, 7393), (7392, 8, 7393), (8104, 8, 7393)]",9.5,"[1.697234921493873e-07, 8.505593541485723e-06]","(5558, 8, 7393)"
1,3.580371910061331e-08,3,6.884262271356079e-08,"[4, 3]","[(7955, 10, 7830), (8338, 10, 7830), (8287, 10, 7830)]",3.5,"[1.4855911167899194e-08, 1.2282933425922238e-07]","(6320, 10, 7830)"
1,0.00022191622701939195,3,2.9269633159856312e-05,"[3, 7]","[(8048, 8, 7593), (7688, 8, 7593), (8338, 8, 7593)]",5.0,"[9.354058420285583e-06, 4.918520789942704e-05]","(4870, 8, 7593)"
1,2.7909027977557344e-08,3,3.860486952333986e-08,"[4, 1]","[(7955, 10, 7830), (8338, 10, 7830), (8287, 10, 7830)]",2.5,"[1.207689415139157e-08, 6.513284489528814e-08]","(4882, 10, 7830)"
1,9.861518712739326e-09,3,1.1436081237548024e-07,"[1, 1]","[(7833, 10, 7830), (8557, 10, 7830), (8048, 10, 7830)]",1.0,"[1.2232818846769078e-07, 1.0639343628326969e-07]","(7125, 10, 7830)"
1,8.774312831860698e-09,3,3.4955133454417364e-08,"[2, 2]","[(7955, 10, 7830), (8338, 10, 7830), (8557, 10, 7830)]",2.0,"[6.306368760533587e-08, 6.8465793034988565e-09]","(5269, 10, 7830)"
1,3.598073616828401e-09,3,4.649595020111974e-08,"[3, 1]","[(7833, 10, 7830), (8557, 10, 7830), (8048, 10, 7830)]",2.0,"[1.8133473389525534e-08, 7.485842701271395e-08]","(6383, 10, 7830)"
1,9.406750933749208e-09,3,1.1911766861771866e-07,"[2, 1]","[(7833, 10, 7830), (8557, 10, 7830), (8048, 10, 7830)]",1.5,"[6.154268561431309e-08, 1.7669265162112424e-07]","(5380, 10, 7830)"
1,3.679509363863076e-09,3,2.426489453810632e-08,"[2, 1]","[(7833, 10, 7830), (8048, 10, 7830), (8557, 10, 7830)]",1.5,"[3.591252806245393e-08, 1.2617261013758707e-08]","(7097, 10, 7830)"
1,1.1674138988837512e-07,3,2.3276596650134707e-08,"[3, 4]","[(7955, 10, 7830), (8287, 10, 7830), (8338, 10, 7830)]",3.5,"[1.968092178117331e-08, 2.6872271519096103e-08]","(5665, 10, 7830)"
1,1.3795589438814204e-05,3,0.20373475924134254,"[1, 1]","[(8140, 11, 7956), (8351, 11, 7956), (8036, 11, 7956)]",1.0,"[0.07416383177042007, 0.333305686712265]","(6976, 11, 7956)"
1,2.871291258088604e-07,3,4.459143188029202e-08,"[2, 2]","[(7833, 10, 7830), (8557, 10, 7830), (8048, 10, 7830)]",2.0,"[2.5630749078686677e-08, 6.355211468189736e-08]","(5627, 10, 7830)"
1,9.579575355189718e-09,3,1.0935290895019989e-08,"[3, 2]","[(7833, 10, 7830), (8557, 10, 7830), (8048, 10, 7830)]",2.5,"[9.406284640078866e-09, 1.2464297149961112e-08]","(5586, 10, 7830)"
1,0.07337050884962082,3,0.06239488162100315,"[1, 3]","[(15423, 12, 4492), (12158, 12, 4492), (8161, 12, 4492)]",2.0,"[0.0989675298333168, 0.0258222334086895]","(5586, 12, 4492)"
1,0.00042496295645833015,3,2.759845389732618e-05,"[7, 6]","[(8059, 8, 7393), (7392, 8, 7393), (8104, 8, 7393)]",6.5,"[2.5673392656244687e-07, 5.4940173868089914e-05]","(6900, 8, 7393)"
1,4.1949319573575394e-09,3,4.156062338722677e-08,"[3, 2]","[(7955, 10, 7830), (8338, 10, 7830), (8557, 10, 7830)]",2.5,"[7.8582587548226e-08, 4.538659226227537e-09]","(5645, 10, 7830)"
1,0.0008862688555382192,3,0.0003922377632079588,"[2, 2]","[(7499, 8, 7427), (7933, 8, 7427), (8048, 8, 7427)]",2.0,"[4.115451702091377e-06, 0.0007803600747138262]","(5844, 8, 7427)"
1,7.97808897914365e-05,3,0.0018400457338429987,"[2, 2]","[(11498, 9, 8151), (9608, 9, 8151), (10988, 9, 8151)]",2.0,"[0.002545249182730913, 0.0011348422849550843]","(4870, 9, 8151)"
1,0.00014518971147481352,3,0.0002465388606651686,"[3, 3]","[(11498, 9, 8151), (9608, 9, 8151), (10988, 9, 8151)]",3.0,"[0.0003331075422465801, 0.0001599701790837571]","(6054, 9, 8151)"
1,0.014452626928687096,3,0.00041371041879756376,"[2, 2]","[(8007, 8, 7410), (8092, 8, 7410), (7955, 8, 7410)]",2.0,"[0.00013848392700310796, 0.0006889369105920196]","(6205, 8, 7410)"
1,0.00012833354412578046,3,0.33636677637696266,"[1, 1]","[(8140, 11, 7956), (8351, 11, 7956), (8036, 11, 7956)]",1.0,"[0.5493887066841125, 0.12334484606981277]","(6004, 11, 7956)"
1,0.0002951537608169019,3,0.0008123641387101088,"[2, 5]","[(10240, 11, 8038), (10280, 11, 8038), (9941, 11, 8038)]",3.5,"[0.0016210211906582117, 3.707086762005929e-06]","(6263, 11, 8038)"
1,4.18413728766609e-05,3,0.14430838078260422,"[1, 1]","[(8140, 11, 7956), (8351, 11, 7956), (8036, 11, 7956)]",1.0,"[0.2230406254529953, 0.06557613611221313]","(6344, 11, 7956)"
1,1.2131610382937197e-08,3,5.048482343283922e-08,"[2, 2]","[(8557, 10, 7830), (7833, 10, 7830), (8338, 10, 7830)]",2.0,"[6.831685084307537e-08, 3.265279602260307e-08]","(6914, 10, 7830)"
1,1.025166298518343e-07,3,4.064190917141275e-08,"[3, 4]","[(7833, 10, 7830), (8557, 10, 7830), (8048, 10, 7830)]",3.5,"[7.556997161373147e-08, 5.71384672909403e-09]","(7788, 10, 7830)"
1,0.00044393775169737637,3,0.0002755199043349421,"[2, 5]","[(10240, 11, 8038), (10280, 11, 8038), (9941, 11, 8038)]",3.5,"[0.0005502669373527169, 7.728713171673007e-07]","(6437, 11, 8038)"
1,2.1284087381445715e-08,3,1.0704114705717416e-08,"[4, 2]","[(7955, 10, 7830), (8287, 10, 7830), (8338, 10, 7830)]",3.0,"[3.9084961933610884e-09, 1.7499733218073743e-08]","(5920, 10, 7830)"
1,3.360280231845536e-08,3,5.028152738617564e-08,"[5, 1]","[(7955, 10, 7830), (8338, 10, 7830), (8287, 10, 7830)]",3.0,"[1.591045695192861e-08, 8.465259782042267e-08]","(6848, 10, 7830)"
1,0.0038276715204119682,3,1.0464405022503342e-05,"[2, 6]","[(8007, 8, 7410), (8092, 8, 7410), (7955, 8, 7410)]",4.0,"[8.307621101266704e-06, 1.262118894373998e-05]","(7080, 8, 7410)"
1,0.001694337697699666,3,4.147864729020512e-05,"[8, 11]","[(7901, 11, 7903), (9105, 9, 7903), (10198, 9, 7903)]",9.5,"[6.455205584643409e-05, 1.8405238733976148e-05]","(5517, 9, 7903)"
1,0.00016190372116398066,3,1.2231707842147443e-06,"[14, 17]","[(7714, 8, 7567), (8416, 8, 7567), (8355, 8, 7567)]",15.5,"[8.142294518620474e-07, 1.6321121165674413e-06]","(7097, 8, 7567)"
1,0.011794748716056347,3,0.0027545874181669205,"[2, 3]","[(8007, 8, 7410), (8092, 8, 7410), (7955, 8, 7410)]",2.5,"[0.0005300766206346452, 0.004979098215699196]","(5756, 8, 7410)"
1,1.2339714885456488e-05,3,0.0023145880760040427,"[3, 5]","[(10240, 11, 8038), (10280, 11, 8038), (9941, 11, 8038)]",4.0,"[0.004628892056643963, 2.8409536412254965e-07]","(6394, 11, 8038)"
1,0.002314773853868246,3,0.00028916138580825645,"[2, 3]","[(8007, 8, 7410), (8092, 8, 7410), (7955, 8, 7410)]",2.5,"[2.0365088857943192e-05, 0.0005579576827585697]","(5447, 8, 7410)"
1,2.1323852706700563e-05,3,0.2966121160425246,"[1, 1]","[(8140, 11, 7956), (8351, 11, 7956), (8036, 11, 7956)]",1.0,"[0.5790325403213501, 0.014191691763699055]","(7125, 11, 7956)"
1,0.00013240447151474655,3,0.23332103341817856,"[1, 1]","[(8140, 11, 7956), (8351, 11, 7956), (8036, 11, 7956)]",1.0,"[0.3480028510093689, 0.11863921582698822]","(5627, 11, 7956)"
