prediction,original_rank,new_rank,#facts,original_score,facts,new_scores,new_score,new_ranks
"(5834, 11, 6729)",2,3.5,6,6.3059583,"[([(5834, 3, 294), (5834, 2, 789), (5834, 3, 40), (5834, 2, 1166)], 0.29904178893699945, 'kelpie'), ([(5834, 3, 294), (5834, 2, 789), (5834, 3, 40), (5834, 1, 1034)], 0.2864294460565598, 'kelpie'), ([(5834, 2, 789), (5834, 3, 40), (5834, 2, 172), (5834, 2, 1166)], 0.281262438589997, 'kelpie'), ([(5834, 3, 40), (21072, 11, 6729), (21072, 3, 40)], 0.17350006, 'xrule'), ([(25489, 11, 6729), (5834, 3, 40), (25489, 3, 40)], 0.1697998, 'xrule'), ([(5834, 3, 40), (24840, 3, 40), (24840, 11, 6729)], 0.16559982, 'xrule')]","[5.0731, 4.7031517]",4.888126,"[3, 4]"
"(5133, 9, 10166)",1,21.5,6,6.655379,"[([(5133, 3, 4866), (10165, 3, 4866), (10165, 9, 10166)], 1.2229004, 'xrule'), ([(5133, 2, 5135), (10165, 9, 10166), (10165, 2, 5135)], 1.2030005, 'xrule'), ([(10165, 9, 10166), (5133, 3, 4194), (10165, 3, 4194)], 1.1710005, 'xrule'), ([(5133, 3, 4866), (5133, 3, 4194), (5133, 2, 5135), (5133, 3, 3744)], 0.7547469598506716, 'kelpie'), ([(5133, 3, 4866), (5133, 3, 4194), (5133, 2, 5135), (5133, 3, 5138)], 0.7415218810500639, 'kelpie'), ([(5133, 3, 4866), (5133, 3, 4194), (5133, 2, 5135), (5133, 3, 5150)], 0.7166667438185921, 'kelpie')]","[4.5602045, 3.3418977]",3.9510512,"[10, 33]"
"(5907, 9, 6144)",2,1.0,6,6.9573603,"[([(5907, 3, 75), (5907, 2, 709), (5907, 3, 177)], 0.731825397318974, 'kelpie'), ([(5907, 3, 75), (5907, 2, 709), (5907, 3, 177), (5907, 2, 1538)], 0.6939444992087034, 'kelpie'), ([(5907, 3, 75), (5907, 4, 66), (5907, 2, 709)], 0.693599269102606, 'kelpie'), ([(22756, 3, 177), (22756, 9, 6144), (5907, 3, 177)], 0.3139, 'xrule'), ([(5907, 2, 709), (22756, 9, 6144), (22756, 2, 709)], 0.30999947, 'xrule'), ([(16113, 9, 6144), (16113, 3, 177), (5907, 3, 177)], 0.29940033, 'xrule')]","[6.030334, 6.428444]",6.229389,"[1, 1]"
"(6504, 11, 7992)",1,1.5,6,6.168879,"[([(6504, 1, 65), (6504, 3, 10), (6504, 3, 9), (6504, 3, 6)], 0.3899665294313502, 'kelpie'), ([(6504, 3, 10), (6504, 3, 9), (6504, 3, 6), (6504, 2, 68)], 0.37569050161900003, 'kelpie'), ([(6504, 3, 10), (6504, 3, 74), (6504, 3, 9), (6504, 3, 6)], 0.3717518266926698, 'kelpie'), ([(21887, 11, 7992), (21887, 3, 6), (6504, 3, 6)], 0.083999634, 'xrule'), ([(8641, 1, 65), (8641, 11, 7992), (6504, 1, 65)], -0.017399788, 'xrule'), ([(21887, 11, 7992), (6504, 1, 65), (21887, 1, 65)], -0.14939976, 'xrule')]","[5.7371254, 5.827235]",5.7821803,"[2, 1]"
"(5411, 11, 8097)",1,3.5,6,7.0618706,"[([(5411, 3, 2257), (5411, 3, 192), (5411, 3, 3189), (5411, 3, 5422)], 0.5984359224712296, 'kelpie'), ([(5411, 3, 2257), (5411, 3, 192), (5411, 1, 65), (5411, 3, 5422)], 0.5708790259133348, 'kelpie'), ([(5411, 3, 2257), (5411, 3, 40), (5411, 3, 192), (5411, 3, 5422)], 0.5546579792598804, 'kelpie'), ([(11465, 11, 8097), (5411, 1, 65), (11465, 1, 65)], 0.18529987, 'xrule'), ([(23819, 11, 8097), (5411, 3, 40), (23819, 3, 40)], 0.18420029, 'xrule'), ([(11465, 3, 40), (5411, 3, 40), (11465, 11, 8097)], 0.17399979, 'xrule')]","[5.940934, 5.352973]",5.6469536,"[2, 5]"
"(6766, 11, 7992)",1,1.0,6,6.3387327,"[([(6766, 2, 2082), (14173, 2, 2082), (14173, 11, 7992)], 1.1702003, 'xrule'), ([(20818, 11, 7992), (20818, 3, 369), (6766, 3, 369)], 0.9232006, 'xrule'), ([(6766, 2, 2083), (14173, 11, 7992), (14173, 2, 2083)], 0.8149004, 'xrule'), ([(6766, 3, 78), (6766, 3, 56), (6766, 3, 10), (6766, 4, 66)], 0.2936401775725605, 'kelpie'), ([(6766, 3, 78), (6766, 3, 10), (6766, 3, 7), (6766, 4, 66)], 0.29156879693803417, 'kelpie'), ([(6766, 3, 78), (6766, 3, 10), (6766, 4, 66), (6766, 3, 479)], 0.2905731609545205, 'kelpie')]","[5.7734756, 5.768383]",5.7709293,"[1, 1]"
"(7392, 9, 7790)",1,1.0,6,9.634243,"[([(7392, 2, 29), (7392, 3, 479), (7392, 1, 2467), (7392, 3, 33)], 0.3198500089806412, 'kelpie'), ([(7392, 3, 40), (7392, 2, 29), (7392, 3, 479), (7392, 3, 33)], 0.3138313703211972, 'kelpie'), ([(7392, 2, 29), (7392, 3, 479), (7392, 3, 3075), (7392, 3, 33)], 0.30751613895139557, 'kelpie'), ([(7392, 3, 100), (17937, 9, 7790), (17937, 3, 100)], 0.10809994, 'xrule'), ([(17937, 9, 7790), (17937, 2, 27), (7392, 2, 27)], 0.10730076, 'xrule'), ([(22881, 9, 7790), (7392, 3, 2561), (22881, 3, 2561)], 0.09980011, 'xrule')]","[8.741787, 8.926856]",8.834322,"[1, 1]"
"(7281, 11, 7992)",1,1.0,6,6.138865,"[([(7281, 3, 75), (24092, 11, 7992), (24092, 3, 75)], 0.6342001, 'xrule'), ([(24092, 11, 7992), (7281, 3, 706), (24092, 3, 706)], 0.5180998, 'xrule'), ([(23971, 11, 7992), (7281, 3, 1878), (23971, 3, 1878)], 0.50129986, 'xrule'), ([(7281, 2, 30), (7281, 3, 279), (7281, 3, 40), (7281, 2, 31)], 0.36384157498590386, 'kelpie'), ([(7281, 3, 279), (7281, 2, 69), (7281, 3, 40), (7281, 2, 31)], 0.36168388681782554, 'kelpie'), ([(7281, 3, 279), (7281, 3, 40), (7281, 3, 6), (7281, 2, 31)], 0.3542585785580401, 'kelpie')]","[5.0765615, 4.7463045]",4.911433,"[1, 1]"
"(6083, 9, 8418)",1,1.0,6,8.809921,"[([(6083, 2, 69), (6083, 3, 74), (6083, 3, 10), (6083, 3, 1630)], 0.4560118142730412, 'kelpie'), ([(6083, 2, 69), (6083, 3, 74), (6083, 3, 10), (6083, 3, 3329)], 0.4440823021398523, 'kelpie'), ([(6083, 2, 69), (6083, 4, 66), (6083, 3, 74), (6083, 3, 10)], 0.44241909411030045, 'kelpie'), ([(12131, 9, 8418), (12131, 3, 73), (6083, 3, 73)], 0.18090057, 'xrule'), ([(24123, 3, 73), (6083, 3, 73), (24123, 9, 8418)], 0.17689991, 'xrule'), ([(6083, 3, 73), (17908, 9, 8418), (17908, 3, 73)], 0.17129993, 'xrule')]","[8.14316, 8.12492]",8.13404,"[1, 1]"
"(7080, 9, 6144)",1,2.0,6,6.4506083,"[([(7080, 3, 460), (7080, 3, 39), (7080, 1, 1054), (7080, 3, 519)], 0.6464457955298012, 'kelpie'), ([(7080, 3, 460), (7080, 1, 1054), (7080, 3, 10), (7080, 3, 519)], 0.6446619476666424, 'kelpie'), ([(7080, 3, 460), (7080, 1, 1054), (7080, 3, 1264), (7080, 3, 519)], 0.6373787368531426, 'kelpie'), ([(7080, 1, 1054), (24223, 9, 6144), (24223, 1, 1054)], 0.23460007, 'xrule'), ([(25079, 9, 6144), (25079, 1, 1054), (7080, 1, 1054)], 0.22700024, 'xrule'), ([(7080, 1, 1054), (20943, 9, 6144), (20943, 1, 1054)], 0.2258997, 'xrule')]","[5.534212, 5.3541355]",5.444174,"[2, 2]"
"(4777, 9, 6144)",1,2.0,6,7.26068,"[([(4777, 2, 31), (4777, 1, 1054), (4777, 3, 40), (4777, 3, 519)], 0.6194897137504923, 'kelpie'), ([(4777, 4, 169), (4777, 1, 1054), (4777, 3, 40), (4777, 3, 519)], 0.601123853567843, 'kelpie'), ([(4777, 4, 169), (4777, 2, 31), (4777, 1, 1054), (4777, 3, 40)], 0.5544720127797367, 'kelpie'), ([(20123, 3, 40), (20123, 9, 6144), (4777, 3, 40)], 0.30239964, 'xrule'), ([(4777, 2, 709), (20123, 9, 6144), (20123, 2, 709)], 0.28189945, 'xrule'), ([(12443, 3, 40), (4777, 3, 40), (12443, 9, 6144)], 0.27649975, 'xrule')]","[5.6426535, 5.5646243]",5.6036386,"[2, 2]"
"(7407, 11, 7869)",1,1.0,6,7.057395,"[([(25356, 11, 7869), (7407, 3, 6), (25356, 3, 6)], 0.5482998, 'xrule'), ([(7407, 3, 40), (22305, 11, 7869), (22305, 3, 40)], 0.408, 'xrule'), ([(7407, 3, 40), (7407, 3, 220), (7407, 3, 6), (7407, 3, 39)], 0.2914696148127653, 'kelpie'), ([(7407, 3, 10), (7407, 3, 40), (7407, 3, 6), (7407, 3, 39)], 0.29010586056179277, 'kelpie'), ([(7407, 3, 10), (7407, 3, 40), (7407, 3, 220), (7407, 3, 6)], 0.28198437000313586, 'kelpie'), ([(7407, 3, 39), (25610, 3, 39), (25610, 11, 7869)], 0.2788, 'xrule')]","[7.0013447, 6.7489023]",6.8751235,"[1, 1]"
"(6300, 9, 8151)",2,1.0,6,8.371053,"[([(6300, 2, 171), (6300, 3, 715), (6300, 3, 892), (6300, 1, 168)], 0.6211471997567365, 'kelpie'), ([(6300, 3, 460), (6300, 2, 171), (6300, 3, 715), (6300, 3, 892)], 0.612007184999457, 'kelpie'), ([(6300, 2, 171), (6300, 3, 715), (6300, 3, 892), (6300, 3, 40)], 0.5978527505782638, 'kelpie'), ([(22756, 9, 8151), (22756, 3, 177), (6300, 3, 177)], 0.19320011, 'xrule'), ([(25531, 9, 8151), (6300, 3, 177), (25531, 3, 177)], 0.1902008, 'xrule'), ([(22756, 3, 715), (6300, 3, 715), (22756, 9, 8151)], 0.18410015, 'xrule')]","[8.074975, 7.5292263]",7.8021007,"[1, 1]"
"(7125, 11, 7869)",2,2.0,6,5.6012373,"[([(10914, 11, 7869), (10914, 3, 40), (7125, 3, 40)], 0.8422003, 'xrule'), ([(7125, 3, 39), (11352, 11, 7869), (11352, 3, 39)], 0.71140003, 'xrule'), ([(17218, 3, 40), (17218, 11, 7869), (7125, 3, 40)], 0.7077999, 'xrule'), ([(7125, 3, 40), (7125, 3, 220), (7125, 3, 39), (7125, 3, 219)], 0.41975597743026016, 'kelpie'), ([(7125, 3, 10), (7125, 3, 40), (7125, 3, 39), (7125, 3, 219)], 0.40636829727569557, 'kelpie'), ([(7125, 3, 10), (7125, 3, 40), (7125, 3, 220), (7125, 3, 39)], 0.40338615770751773, 'kelpie')]","[4.612266, 5.580901]",5.0965834,"[3, 1]"
"(4978, 11, 90)",1,1.0,6,7.456912,"[([(4978, 3, 93), (4978, 3, 92), (4978, 3, 6), (4978, 3, 94)], 0.3471212799438693, 'kelpie'), ([(4978, 3, 93), (4978, 3, 92), (4978, 3, 94), (4978, 4, 924)], 0.34584717101737095, 'kelpie'), ([(4978, 3, 93), (4978, 3, 92), (4978, 3, 94), (4978, 1, 264)], 0.3395281249688689, 'kelpie'), ([(4978, 3, 94), (17301, 3, 94), (17301, 11, 90)], 0.28849983, 'xrule'), ([(4978, 3, 94), (22154, 3, 94), (22154, 11, 90)], 0.28240013, 'xrule'), ([(4978, 4, 924), (23793, 11, 90), (23793, 4, 924)], 0.15929985, 'xrule')]","[6.075874, 6.1231117]",6.099493,"[1, 1]"
"(7426, 11, 8038)",1,3.0,3,6.6888194,"[([(7426, 3, 39), (7426, 3, 666), (7426, 3, 40), (7426, 3, 58)], 0.44387630851257726, 'kelpie'), ([(7426, 3, 39), (7426, 3, 185), (7426, 3, 666), (7426, 3, 58)], 0.44194893264802665, 'kelpie'), ([(7426, 3, 39), (7426, 8, 7427), (7426, 3, 666), (7426, 4, 1577)], 0.37791590065905123, 'kelpie')]","[4.9721327, 4.8096743]",4.8909035,"[3, 3]"
"(6394, 9, 3917)",1,2.0,6,8.089542,"[([(6394, 3, 2586), (25754, 9, 3917), (25754, 3, 2586)], 0.6541004, 'xrule'), ([(25754, 9, 3917), (6394, 3, 9), (25754, 3, 9)], 0.6316004, 'xrule'), ([(25754, 3, 113), (25754, 9, 3917), (6394, 3, 113)], 0.6243, 'xrule'), ([(6394, 3, 113), (6394, 3, 9), (6394, 3, 2593), (6394, 3, 2586)], 0.485527081003459, 'kelpie'), ([(6394, 3, 113), (6394, 4, 66), (6394, 3, 2593), (6394, 3, 2586)], 0.4393740119999481, 'kelpie'), ([(6394, 3, 113), (6394, 4, 66), (6394, 3, 9), (6394, 3, 2586)], 0.43366627117014467, 'kelpie')]","[6.550701, 6.514001]",6.532351,"[2, 2]"
"(7868, 11, 6729)",1,4.0,6,7.079462,"[([(7868, 3, 3304), (7868, 3, 649), (7868, 3, 801), (7868, 1, 65)], 0.2281618523398717, 'kelpie'), ([(7868, 3, 149), (7868, 3, 649), (7868, 3, 801), (7868, 1, 65)], 0.22607139825870332, 'kelpie'), ([(7868, 3, 3304), (7868, 3, 915), (7868, 3, 801), (7868, 1, 65)], 0.18499950631426992, 'kelpie'), ([(18756, 11, 6729), (18756, 1, 65), (7868, 1, 65)], 0.12129974, 'xrule'), ([(18336, 11, 6729), (18336, 1, 65), (7868, 1, 65)], 0.11049938, 'xrule'), ([(8140, 11, 6729), (8140, 1, 65), (7868, 1, 65)], 0.1079998, 'xrule')]","[6.074604, 5.330099]",5.7023516,"[4, 4]"
"(6115, 11, 6729)",1,4.5,6,7.6898937,"[([(6115, 3, 213), (6115, 3, 212), (6115, 3, 227), (6115, 3, 226)], 0.40723614090699817, 'kelpie'), ([(6115, 2, 209), (6115, 3, 213), (6115, 3, 227), (6115, 3, 226)], 0.3873281894095417, 'kelpie'), ([(6115, 3, 213), (6115, 3, 227), (6115, 3, 226), (6115, 2, 132)], 0.3871050295864935, 'kelpie'), ([(6115, 3, 138), (15932, 3, 138), (15932, 11, 6729)], 0.1427002, 'xrule'), ([(15932, 4, 66), (15932, 11, 6729), (6115, 4, 66)], 0.13119984, 'xrule'), ([(15932, 3, 40), (15932, 11, 6729), (6115, 3, 40)], 0.13090038, 'xrule')]","[6.1376143, 5.3986626]",5.7681384,"[3, 6]"
"(6263, 9, 9452)",1,1.0,6,7.2706003,"[([(6263, 3, 2034), (6263, 3, 2702), (6263, 1, 65), (6263, 2, 729)], 0.27144054675061274, 'kelpie'), ([(6263, 3, 78), (6263, 3, 2034), (6263, 3, 2702), (6263, 2, 729)], 0.26828865310707933, 'kelpie'), ([(6263, 3, 9), (6263, 3, 2034), (6263, 3, 2702), (6263, 2, 729)], 0.25991253155311816, 'kelpie'), ([(6263, 3, 2132), (23688, 9, 9452), (23688, 3, 2132)], 0.18859959, 'xrule'), ([(6263, 3, 40), (23688, 9, 9452), (23688, 3, 40)], 0.16819954, 'xrule'), ([(23688, 9, 9452), (6263, 3, 732), (23688, 3, 732)], 0.16359997, 'xrule')]","[6.457256, 6.4430685]",6.450162,"[1, 1]"
"(5834, 9, 1470)",1,1.0,6,8.630572,"[([(5834, 2, 789), (5834, 2, 1166), (5834, 3, 1171), (5834, 3, 1177)], 0.584201856235945, 'kelpie'), ([(5834, 3, 46), (5834, 2, 789), (5834, 2, 1166), (5834, 3, 1171)], 0.5492706729668381, 'kelpie'), ([(5834, 3, 46), (5834, 2, 789), (5834, 2, 1166), (5834, 3, 1177)], 0.5425491763358739, 'kelpie'), ([(24537, 2, 1166), (24537, 9, 1470), (5834, 2, 1166)], 0.2152996, 'xrule'), ([(14803, 9, 1470), (14803, 2, 1166), (5834, 2, 1166)], 0.2038002, 'xrule'), ([(5834, 3, 6), (17908, 3, 6), (17908, 9, 1470)], 0.17140007, 'xrule')]","[7.3082848, 7.205018]",7.2566514,"[1, 1]"
"(7610, 9, 7903)",1,1.0,6,9.556608,"[([(7610, 3, 4088), (7610, 3, 3734), (7610, 3, 39), (7610, 3, 1123)], 0.2651234079928685, 'kelpie'), ([(7610, 3, 3734), (7610, 3, 1339), (7610, 3, 39), (7610, 3, 1123)], 0.26428226727809423, 'kelpie'), ([(7610, 2, 1189), (7610, 3, 3734), (7610, 3, 39), (7610, 3, 1123)], 0.2625732828674416, 'kelpie'), ([(7610, 3, 1005), (22486, 3, 1005), (22486, 9, 7903)], 0.16720009, 'xrule'), ([(7610, 3, 1123), (22486, 3, 1123), (22486, 9, 7903)], 0.16049957, 'xrule'), ([(22486, 9, 7903), (7610, 2, 1323), (22486, 2, 1323)], 0.16009998, 'xrule')]","[8.525766, 9.428123]",8.976945,"[1, 1]"
"(6766, 9, 11980)",1,1.0,6,8.600188,"[([(6766, 2, 2083), (6766, 3, 630), (6766, 3, 629), (6766, 2, 2082)], 0.7721329197866054, 'kelpie'), ([(6766, 2, 2083), (6766, 3, 630), (6766, 3, 1417), (6766, 3, 629)], 0.7454414825686219, 'kelpie'), ([(6766, 2, 2083), (6766, 3, 630), (6766, 3, 629), (6766, 3, 5562)], 0.7343225935274739, 'kelpie'), ([(22042, 9, 11980), (6766, 3, 629), (22042, 3, 629)], 0.27719975, 'xrule'), ([(22042, 9, 11980), (6766, 2, 2083), (22042, 2, 2083)], 0.25940037, 'xrule'), ([(22042, 9, 11980), (22042, 3, 630), (6766, 3, 630)], 0.25629997, 'xrule')]","[7.4965563, 7.732707]",7.6146317,"[1, 1]"
"(5067, 11, 7984)",1,1.0,6,5.666048,"[([(8486, 11, 7984), (8486, 3, 278), (5067, 3, 278)], 1.0783005, 'xrule'), ([(5067, 3, 39), (19846, 3, 39), (19846, 11, 7984)], 0.9801998, 'xrule'), ([(18459, 11, 7984), (18459, 3, 9), (5067, 3, 9)], 0.97039986, 'xrule'), ([(5067, 3, 10), (5067, 3, 40), (5067, 3, 6), (5067, 3, 9)], 0.3773088869897809, 'kelpie'), ([(5067, 3, 41), (5067, 3, 10), (5067, 3, 40), (5067, 3, 6)], 0.37125591603369806, 'kelpie'), ([(5067, 3, 10), (5067, 2, 30), (5067, 3, 40), (5067, 3, 6)], 0.36530498824462593, 'kelpie')]","[5.4001846, 4.277845]",4.839015,"[1, 1]"
"(7628, 12, 8676)",2,9.0,6,8.142027,"[([(7628, 3, 279), (7628, 3, 7), (7628, 3, 40), (7628, 3, 184)], 0.7708683476142384, 'kelpie'), ([(7628, 2, 30), (7628, 3, 279), (7628, 3, 7), (7628, 3, 184)], 0.6633549181907619, 'kelpie'), ([(7628, 3, 279), (7628, 3, 7), (7628, 3, 184), (7628, 4, 66)], 0.6585712877705463, 'kelpie'), ([(7628, 3, 279), (16674, 3, 279), (16674, 12, 8676)], 0.32219982, 'xrule'), ([(16674, 3, 7), (7628, 3, 7), (16674, 12, 8676)], 0.2939005, 'xrule'), ([(16674, 3, 40), (7628, 3, 40), (16674, 12, 8676)], 0.27180004, 'xrule')]","[5.363862, 5.880581]",5.6222215,"[8, 10]"
"(5200, 11, 7869)",2,1.0,6,6.3907385,"[([(22455, 11, 7869), (22455, 2, 266), (5200, 2, 266)], 0.41969967, 'xrule'), ([(8525, 11, 7869), (8525, 2, 31), (5200, 2, 31)], 0.27460003, 'xrule'), ([(5200, 3, 628), (5200, 3, 1552), (5200, 3, 75), (5200, 3, 1112)], 0.26749901074669996, 'kelpie'), ([(5200, 3, 1552), (5200, 3, 75), (5200, 3, 1112), (5200, 2, 30)], 0.2671051432524452, 'kelpie'), ([(13848, 11, 7869), (13848, 2, 31), (5200, 2, 31)], 0.26010036, 'xrule'), ([(5200, 2, 31), (5200, 3, 1552), (5200, 3, 75), (5200, 3, 1112)], 0.25244716892534824, 'kelpie')]","[6.337198, 6.514188]",6.4256926,"[1, 1]"
"(6246, 11, 90)",1,1.0,6,6.5092406,"[([(6246, 3, 6), (17331, 11, 90), (17331, 3, 6)], 1.5476999, 'xrule'), ([(6246, 3, 6), (18260, 3, 6), (18260, 11, 90)], 1.2063999, 'xrule'), ([(6246, 3, 6), (23082, 11, 90), (23082, 3, 6)], 0.91569996, 'xrule'), ([(6246, 3, 92), (6246, 3, 6), (6246, 4, 66), (6246, 3, 149)], 0.36201004349001803, 'kelpie'), ([(6246, 3, 92), (6246, 3, 6), (6246, 3, 40), (6246, 3, 149)], 0.3606458123692206, 'kelpie'), ([(6246, 3, 92), (6246, 3, 6), (6246, 3, 91), (6246, 3, 149)], 0.3566427643453742, 'kelpie')]","[5.8785214, 6.0511]",5.9648104,"[1, 1]"
"(5305, 12, 9444)",1,130.5,6,7.808302,"[([(9442, 3, 94), (9442, 12, 9444), (5305, 3, 94)], 2.7465997, 'xrule'), ([(9442, 12, 9444), (5305, 3, 6), (9442, 3, 6)], 2.646, 'xrule'), ([(9442, 3, 41), (5305, 3, 41), (9442, 12, 9444)], 2.6448998, 'xrule'), ([(5305, 3, 5315), (5305, 3, 1952), (5305, 3, 5314), (5305, 3, 94)], 0.8926587590178908, 'kelpie'), ([(5305, 3, 41), (5305, 3, 1952), (5305, 3, 5314), (5305, 3, 94)], 0.876193571607371, 'kelpie'), ([(5305, 3, 41), (5305, 3, 5315), (5305, 3, 5314), (5305, 3, 94)], 0.8672519210158613, 'kelpie')]","[2.4727874, 2.3442416]",2.4085145,"[126, 135]"
"(4952, 11, 7869)",1,2.0,6,5.530306,"[([(4952, 3, 6), (15349, 11, 7869), (15349, 3, 6)], 0.3942995, 'xrule'), ([(4952, 2, 31), (4952, 3, 880), (4952, 2, 30), (4952, 1, 941)], 0.3677821573112512, 'kelpie'), ([(4952, 3, 75), (4952, 3, 880), (4952, 2, 30), (4952, 1, 941)], 0.3659387048179393, 'kelpie'), ([(4952, 2, 31), (4952, 3, 75), (4952, 3, 880), (4952, 1, 941)], 0.3561654503652137, 'kelpie'), ([(25566, 3, 6), (4952, 3, 6), (25566, 11, 7869)], 0.26410007, 'xrule'), ([(4952, 3, 6), (24235, 3, 6), (24235, 11, 7869)], 0.2600994, 'xrule')]","[5.0365124, 5.126382]",5.081447,"[2, 2]"
