new_ranks,new_rank,new_scores,facts,prediction,original_rank,#facts,original_score,perspective,new_score
"[1, 1]",1.0,"[5.3126316, 5.4964]","[(23486, 11, 7992), (23486, 3, 78), (5067, 3, 78), (12340, 11, 7992), (12340, 3, 78), (5067, 3, 78), (5067, 2, 31), (14544, 2, 31), (14544, 11, 7992)]","(5067, 11, 7992)",1,9,5.6155605,all,5.4045157
"[1, 1]",1.0,"[7.551276, 6.954335]","[(18479, 9, 2010), (6162, 2, 31), (18479, 2, 31), (18479, 9, 2010), (6162, 2, 30), (18479, 2, 30), (18479, 9, 2010), (18479, 3, 6), (6162, 3, 6)]","(6162, 9, 2010)",1,9,8.629868,all,7.2528057
"[4, 3]",3.5,"[5.747329, 5.4846215]","[(22481, 3, 10), (6812, 3, 10), (22481, 12, 13960), (22481, 12, 13960), (22481, 3, 1870), (6812, 3, 1870), (6812, 3, 9), (22481, 12, 13960), (22481, 3, 9)]","(6812, 12, 13960)",1,9,7.1088166,all,5.6159754
"[2, 1]",1.5,"[5.7072515, 6.1549597]","[(6419, 3, 506), (19523, 9, 8339), (19523, 3, 506), (6419, 2, 728), (19523, 9, 8339), (19523, 2, 728), (6419, 3, 7), (19523, 9, 8339), (19523, 3, 7)]","(6419, 9, 8339)",1,9,6.532011,all,5.9311056
"[1, 1]",1.0,"[6.28895, 6.461524]","[(6766, 2, 2082), (14173, 2, 2082), (14173, 11, 7992), (20818, 11, 7992), (20818, 3, 369), (6766, 3, 369), (6766, 2, 2083), (14173, 11, 7992), (14173, 2, 2083)]","(6766, 11, 7992)",1,9,6.3387327,all,6.375237
"[1, 3]",2.0,"[5.928303, 5.094798]","[(23703, 11, 8038), (19733, 11, 8038), (23625, 11, 8038)]","(5844, 11, 8038)",1,3,6.3391323,all,5.5115504
"[1, 2]",1.5,"[6.2302, 6.1161838]","[(6976, 3, 476), (6976, 3, 78), (6976, 3, 9)]","(6976, 11, 7992)",3,3,5.79963,all,6.173192
"[1, 1]",1.0,"[9.4115505, 9.555237]","[(7610, 3, 1005), (22486, 3, 1005), (22486, 9, 7903), (7610, 3, 1123), (22486, 3, 1123), (22486, 9, 7903), (22486, 9, 7903), (7610, 2, 1323), (22486, 2, 1323)]","(7610, 9, 7903)",1,9,9.556608,all,9.483394
"[1, 1]",1.0,"[6.2786884, 6.70872]","[(11465, 11, 8097), (5411, 1, 65), (11465, 1, 65), (23819, 11, 8097), (5411, 3, 40), (23819, 3, 40), (11465, 3, 40), (5411, 3, 40), (11465, 11, 8097)]","(5411, 11, 8097)",1,9,7.0618706,all,6.4937043
"[2, 2]",2.0,"[5.180778, 4.928356]","[(8486, 11, 7984), (8486, 3, 278), (5067, 3, 278), (5067, 3, 39), (19846, 3, 39), (19846, 11, 7984), (18459, 11, 7984), (18459, 3, 9), (5067, 3, 9)]","(5067, 11, 7984)",1,9,5.666048,all,5.0545673
