new_rank,new_score,new_ranks,facts,original_score,new_scores,prediction,original_rank,#facts
2.0,0.473998173722066,"[1, 3]","[(5627, 3, 56), (5627, 3, 2042), (5627, 3, 3863), (5627, 3, 278), (5627, 3, 2042), (5627, 3, 666), (5627, 1, 864), (5627, 3, 278), (5627, 3, 2042)]",0.00013240447151474655,"[0.9455560445785522, 0.0024403028655797243]","(5627, 11, 7956)",1,9
2.0,0.3074995960632805,"[1, 3]","[(7125, 4, 66), (7125, 3, 7127), (7125, 3, 476), (7125, 4, 66), (7125, 3, 476), (7125, 3, 0), (7125, 4, 66), (7125, 3, 476), (7125, 3, 0), (7125, 2, 68)]",2.1323852706700563e-05,"[0.6143108606338501, 0.0006883314927108586]","(7125, 11, 7956)",1,10
5.0,3.092849226504768e-06,"[3, 7]","[(6722, 3, 277), (6722, 3, 2638), (6722, 3, 1454), (6722, 1, 65), (6722, 3, 2638), (6722, 2, 30), (6722, 3, 2638), (6722, 3, 1341), (6722, 1, 65), (6722, 3, 111)]",0.0005110133206471801,"[1.2200620176372468e-06, 4.965636435372289e-06]","(6722, 8, 7427)",1,10
9.5,3.240605233711946e-06,"[16, 3]","[(4870, 2, 888), (4870, 3, 4876), (4870, 2, 888), (4870, 3, 4879), (4870, 3, 4876), (4870, 3, 4879), (4870, 3, 1101), (4870, 3, 88)]",0.023995403200387955,"[1.5667955821641044e-10, 6.481053787865676e-06]","(4870, 8, 7567)",1,8
1.0,0.9970692694187164,"[1, 1]","[(6213, 2, 266), (6213, 2, 31), (6213, 4, 485), (6213, 3, 1839), (6213, 4, 485), (6213, 2, 30), (6213, 3, 1839), (6213, 3, 75), (6213, 4, 485)]",2.007188548702743e-08,"[0.9999655485153198, 0.994172990322113]","(6213, 10, 7830)",1,9
1.0,0.9995204210281372,"[1, 1]","[(7499, 8, 7427), (7499, 4, 485), (7499, 2, 30), (7499, 2, 7501), (7499, 3, 7507), (7499, 1, 264), (7499, 8, 7427), (7499, 4, 485), (7499, 2, 31), (7499, 1, 264), (7499, 8, 7427), (7499, 4, 485)]",8.690136610312038e-09,"[0.9995155334472656, 0.9995253086090088]","(7499, 10, 7830)",1,12
3.0,7.741983836240252e-06,"[3, 3]","[(5930, 3, 1155), (5930, 3, 237), (5930, 2, 2270)]",0.00019900716142728925,"[4.402473223308334e-06, 1.1081494449172169e-05]","(5930, 8, 7427)",1,3
1.0,0.9971133470535278,"[1, 1]","[(6983, 1, 1054), (6983, 2, 30), (6983, 3, 6991), (6983, 3, 6992), (6983, 1, 1054), (6983, 1, 1054), (6983, 2, 30), (6983, 3, 892)]",8.622164315852388e-09,"[0.9996188879013062, 0.9946078062057495]","(6983, 10, 7830)",1,8
1.0,0.998195230960846,"[1, 1]","[(6300, 2, 68), (6300, 3, 460), (6300, 4, 207), (6300, 3, 1825), (6300, 2, 68), (6300, 2, 30), (6300, 4, 207), (6300, 2, 68), (6300, 2, 266), (6300, 1, 168), (6300, 4, 207)]",9.566154979268049e-09,"[0.9991680383682251, 0.9972224235534668]","(6300, 10, 7830)",1,11
12.5,1.027566579320596e-05,"[23, 2]","[(7335, 3, 40), (7335, 3, 391), (7335, 3, 40), (7335, 3, 88), (7335, 3, 2013), (7335, 3, 40), (7335, 3, 390)]",0.003208134090527892,"[1.8604078780987132e-12, 2.0551329726004042e-05]","(7335, 8, 7410)",1,7
11.0,0.0001015272630323083,"[19, 3]","[(7058, 1, 65), (7058, 3, 2832), (7058, 3, 427), (7058, 3, 2832), (7058, 1, 65), (7058, 3, 2832)]",0.0042869639582931995,"[3.897008271636082e-10, 0.00020305413636378944]","(7058, 8, 7410)",1,6
11.0,9.11929321608107e-05,"[20, 2]","[(5897, 2, 132), (5897, 3, 479), (5897, 3, 427), (5897, 2, 132), (5897, 3, 9)]",0.0011432610917836428,"[1.187469012009501e-10, 0.0001823857455747202]","(5897, 8, 7410)",1,5
2.0,0.17257951945066452,"[1, 3]","[(6083, 2, 68), (6083, 3, 34), (6083, 1, 6071)]",0.0004672103968914598,"[0.1890549659729004, 0.15610407292842865]","(6083, 9, 8418)",1,3
1.0,0.999927282333374,"[1, 1]","[(7065, 5, 7066), (7065, 3, 243), (7065, 3, 915), (7065, 3, 39), (7065, 5, 7066), (7065, 3, 39)]",1.0907464265130784e-08,"[0.9999760389328003, 0.9998785257339478]","(7065, 10, 7830)",1,6
