new_scores,#facts,new_score,new_rank,new_ranks,original_rank,original_score,prediction,facts
"[3.7317818168958183e-06, 5.984647941659205e-07]",3,2.1651233055308694e-06,11.5,"[18, 5]",1,5.487277832116888e-08,"(7201, 10, 7830)","[(7201, 2, 31), (7201, 3, 7203), (7201, 3, 717)]"
"[2.789955942716915e-05, 2.733619197670123e-08]",3,1.3963447809572926e-05,9.5,"[4, 15]",1,0.0004571357276290655,"(5110, 8, 7567)","[(5110, 3, 2040), (5110, 4, 1893), (5110, 3, 50)]"
"[0.02876218594610691, 6.06757566856686e-05]",3,0.01441143085139629,4.5,"[2, 7]",1,0.00026256981072947383,"(6213, 11, 8038)","[(6213, 2, 729), (6213, 3, 1321), (6213, 3, 1744)]"
"[3.1522304766440357e-07, 8.60644558997592e-06]",3,4.4608343188201616e-06,14.0,"[23, 5]",1,4.969827660517012e-09,"(5593, 10, 7830)","[(5593, 1, 65), (5593, 3, 46), (5593, 2, 31)]"
"[0.009606403298676014, 0.0006353713688440621]",3,0.005120887333760038,4.0,"[3, 5]",1,0.0007456682506017387,"(5558, 8, 7393)","[(5558, 3, 149), (5558, 1, 65), (5558, 3, 629)]"
"[0.0008492848137393594, 0.00015135147259570658]",3,0.000500318143167533,3.5,"[3, 4]",1,0.00022191622701939195,"(4870, 8, 7593)","[(4870, 2, 1100), (4870, 3, 40), (4870, 2, 888)]"
"[3.925131750293076e-06, 5.832409897266189e-06]",3,4.878770823779632e-06,10.5,"[19, 2]",1,3.580371910061331e-08,"(6320, 10, 7830)","[(6320, 2, 31), (6320, 4, 66), (6320, 5, 6321)]"
"[5.515898919838946e-07, 5.761294801231998e-07]",3,5.638596860535472e-07,16.0,"[26, 6]",1,2.7909027977557344e-08,"(4882, 10, 7830)","[(4882, 1, 65), (4882, 3, 1823), (4882, 3, 40)]"
"[1.3859575176411454e-07, 2.6633829293132294e-06]",3,1.400989340538672e-06,19.0,"[35, 3]",1,9.861518712739326e-09,"(7125, 10, 7830)","[(7125, 4, 66), (7125, 3, 2585), (7125, 3, 479)]"
"[7.786344440319226e-07, 6.422025762731209e-06]",3,3.600330103381566e-06,16.5,"[30, 3]",1,8.774312831860698e-09,"(5269, 10, 7830)","[(5269, 4, 66), (5269, 3, 1966), (5269, 3, 55)]"
"[5.277738068798499e-07, 6.919964107510168e-06]",3,3.723868957195009e-06,20.0,"[35, 5]",1,3.598073616828401e-09,"(6383, 10, 7830)","[(6383, 3, 6389), (6383, 3, 7), (6383, 3, 3058)]"
"[4.791935225512134e-06, 1.268150117539335e-05]",3,8.736718200452742e-06,10.0,"[16, 4]",1,9.406750933749208e-09,"(5380, 10, 7830)","[(5380, 4, 66), (5380, 3, 732), (5380, 2, 728)]"
"[1.1006964086845983e-06, 5.804106422147015e-06]",3,3.4524014154158067e-06,16.0,"[28, 4]",1,3.679509363863076e-09,"(7097, 10, 7830)","[(7097, 3, 1348), (7097, 3, 9), (7097, 2, 68)]"
"[1.3066380688542267e-06, 1.1133441148558632e-05]",3,6.220039608706429e-06,18.0,"[32, 4]",1,1.1674138988837512e-07,"(5665, 10, 7830)","[(5665, 3, 476), (5665, 3, 37), (5665, 3, 111)]"
"[0.10699297487735748, 0.0002949067857116461]",3,0.053643940831534564,1.5,"[1, 2]",1,1.3795589438814204e-05,"(6976, 11, 7956)","[(6976, 3, 6978), (6976, 2, 69), (6976, 3, 220)]"
"[2.159379164368147e-06, 5.616629550786456e-06]",3,3.8880043575773016e-06,8.5,"[15, 2]",1,2.871291258088604e-07,"(5627, 10, 7830)","[(5627, 3, 6), (5627, 3, 58), (5627, 3, 7)]"
"[2.0102941107325023e-06, 2.9165180421841796e-06]",3,2.463406076458341e-06,10.5,"[17, 4]",1,9.579575355189718e-09,"(5586, 10, 7830)","[(5586, 1, 65), (5586, 3, 10), (5586, 2, 68)]"
"[0.031086919829249382, 0.027414657175540924]",3,0.029250788502395153,5.5,"[8, 3]",1,0.07337050884962082,"(5586, 12, 4492)","[(5586, 3, 279), (5586, 3, 6), (5586, 2, 68)]"
"[0.008020172826945782, 0.00018477010598871857]",3,0.00410247146646725,4.0,"[3, 5]",1,0.00042496295645833015,"(6900, 8, 7393)","[(6900, 5, 6901), (6900, 2, 2270), (6900, 3, 741)]"
"[6.372569600898714e-07, 8.697760677023325e-06]",3,4.667508818556598e-06,13.5,"[26, 1]",1,4.1949319573575394e-09,"(5645, 10, 7830)","[(5645, 1, 65), (5645, 3, 2085), (5645, 3, 1200)]"
"[0.056835804134607315, 0.00035842059878632426]",3,0.02859711236669682,2.5,"[1, 4]",1,0.0008862688555382192,"(5844, 8, 7427)","[(5844, 3, 1151), (5844, 3, 10), (5844, 2, 2270)]"
"[2.2324373105675477e-07, 1.602042232207168e-07]",3,1.917239771387358e-07,60.0,"[91, 29]",1,7.97808897914365e-05,"(4870, 9, 8151)","[(4870, 3, 3987), (4870, 3, 88), (4870, 2, 888)]"
"[3.5166783618478803e-06, 7.18733303983754e-08]",3,1.7942758461231278e-06,47.0,"[48, 46]",1,0.00014518971147481352,"(6054, 9, 8151)","[(6054, 3, 177), (6054, 3, 6060), (6054, 2, 171)]"
"[0.33971476554870605, 0.0006556960288435221]",3,0.1701852307887748,2.5,"[1, 4]",1,0.014452626928687096,"(6205, 8, 7410)","[(6205, 2, 709), (6205, 3, 6212), (6205, 3, 6210)]"
